id,question,content,category,source
217,нет вкладки передать в архив документы,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
218,"У всех директоров кластера со вчерашнего дня сохраняется проблема в личном кабинете, пропали вкладки ""передать в архив и пропали задачи из личный кабинет. Что делать?","Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
219,нет вкладки передать в архив,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
220,Не распечатываются документы на передачу в архив ссылки на файлы не активны,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
221,Не отображаются задачи в личный кабинет,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
222,Не могу закрыть заявку,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
223,"не активна кнопка выполнить в задачах ,не уходят задачи из архива.","Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
224,нет заявок,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
225,"из раздела ""передать в архив"" пропали все документы для передачи МП","Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
226,Не работает раздел задачи,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
227,Не работают раздел задачи,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
228,при отмене заявки в личном кабите номер заявки пишет не удалось отправить данные,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
229,Отсутствуют заявки,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
230,Не открывается раздел задач в личный кабинет,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
231,пропала задача из передать в архив ( подписание трудоустройства на прием),"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
232,ЗАДАЧИ НА МОЕЙ СТОРОНЕ НО Я ИХ НЕ ВИЖУ,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
233,"ДД! Не возможно закрыть заявку, выдает ошибку.","Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
234,"в задачах пропала вкладка передать в архив, там висят две задачи,ь не могу найти отработать документы","Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
235,НЕ ПОКАЗЫВАЮТ ЗАДАЧИ В ЛИЧНОМ КАБИНЕТЕ,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
236,"У сотрудника слетел пароль при попытке восстановить пишет что ""Учетная запись/номер телефона указаны неверно""","Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
237,"Не падают задачи,и заявки.","Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
238,пропала вкладка передать в архив,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
239,невозможно создавать заявки в личном кабинете,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
240,Пропали заявки и задачи,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
241,"В личном кабинете в задачах - передать в архив, при нажатии кнопки ""Выполнено"" выходит ошибка ""Не удалось отправить данные. Обратитесь в поддержку""","Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
242,Упала задача не могу ее закрыть,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
243,не закрывается задача по сдаче документов в архив,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
244,задачи архив не отображаются,"Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
245,"В личном кабинете, в разделе задачи пропала вкладка передать в архив","Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
246,"Сотрудник при входе в личный кабинет по своему логину и паролю, который ему поступает на телефон, попадает в личный кабинет большого руководителя.","Первым делом, просьба очистить кэш/куки браузера (сочетание клавиш ctrl+shift+del, выбрать ""Удалить: Всё"", нажать ОК). Далее перезайти в личный кабинет. Если это не помогло просьба подать заявку, нажав ниже кнопку ""Создать заявку"" и выбрать соответствующую тему.",ЛК,faq
247,из личного кабинета пропал график работы,"Вкладка ""график работы"" недоступна сотрудникам с организационным присвоением ""Офис"" и на данный момент доступна только сотрудникам розницы.",ЛК,faq
248,Пропал календарь,"Вкладка ""график работы"" недоступна сотрудникам с организационным присвоением ""Офис"" и на данный момент доступна только сотрудникам розницы.",ЛК,faq
249,не отображается график работы,"Вкладка ""график работы"" недоступна сотрудникам с организационным присвоением ""Офис"" и на данный момент доступна только сотрудникам розницы.",ЛК,faq
250,Нет раздела График работы,"Вкладка ""график работы"" недоступна сотрудникам с организационным присвоением ""Офис"" и на данный момент доступна только сотрудникам розницы.",ЛК,faq
251,Отсутствует график работы,"Вкладка ""график работы"" недоступна сотрудникам с организационным присвоением ""Офис"" и на данный момент доступна только сотрудникам розницы.",ЛК,faq
252,не вижу график,"Вкладка ""график работы"" недоступна сотрудникам с организационным присвоением ""Офис"" и на данный момент доступна только сотрудникам розницы.",ЛК,faq
253,Пропал график работы,"Вкладка ""график работы"" недоступна сотрудникам с организационным присвоением ""Офис"" и на данный момент доступна только сотрудникам розницы.",ЛК,faq
254,нет в личном кабинете папки График работы,"Вкладка ""график работы"" недоступна сотрудникам с организационным присвоением ""Офис"" и на данный момент доступна только сотрудникам розницы.",ЛК,faq
255,как изменить номер телефона,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
256,не могу сменить номер телефона в личный кабинет,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
257,изменить номер телефона,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
258,изменение номера телефона,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
259,смена номера телефона,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
260,Как изменить номер телефона в личный кабинет,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
261,поменять номер сотрудника,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
262,хочу поменять номер телефона,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
263,Как добавить номер телефона в учетную запись сотрудника,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
264,У сотрудника отсутствует номер телефона в личных данных,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
265,Нужно поменять номер телефона,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
266,необходима сменить номер телефона сотрудника,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
267,необходимо изменить номер телефона,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
268,В табеле не верно указан мобильный телефон сотрудника,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
269,сменить номер тел в личный кабинет,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
270,"нет логина и пароля для доступа в личный кабинет, так как указан старый номер телефона","Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
271,поменять телефон сотруднику,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
272,"Необходимо сменить номер телефона сотруднику, чтобы получить логин и пароль с табеля. В табеле указан не верный.","Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
273,У сотрудника не верный номер телефона.,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
274,Как изменить номер телефона сотрудника,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
275,"При оформлении не верно указан номер телефона сотрудника, что стало причиной отправки пароля от личный кабинет на не действующий номер. Просьба отправить пароль на рабочий номер телефона сотрудника","Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
276,сменить номер телефона сотрудника в личный кабинет,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
277,"Добрый день. Нужно поменять норме телефона сотрудника, так как при оформлении неправильно ОЦО указал номер телефона","Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
278,"Мы не можем войти в личный кабинет, так как пароль пришел на несуществующий номер телефона","Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
279,Как изменить номер телефона?,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
280,"Нет логина и пароля у сотрудника,старого номера у сотрудника нет, чтобы отправить туда логин и пароль. Необходимо сменить номер телефона.","Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
281,изменить номер в личный кабинет,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
282,"требуется смена номера телефона, у сотрудникка не доступа к старому номеру","Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
283,изменить номер телефона в личный кабинет сотруднику,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
284,Обновить номер телефона,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
285,Сменить номер телефона сотрудника,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
286,"в личном кабинете указан неправильно номер телефона, как его можно поменять","Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
287,необходимо изменить номер телефона сотруднику,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
288,"Добрый день, у сотрудника во первых не правельный номер телевона, во вторых в учётной запеси в место 11 цмфр 12, прошу исправить на верный номер","Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
289,Нужно сменить номер телефона в личный кабинет,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
290,У сотрудника неверно указан номер телефона,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
291,неверно указан номер телефона,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
292,изменить номер телефона сотруднику,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
293,утерян номер телефона оформленый в личный кабинет,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
294,замена телефона,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
295,смена мобильного номера у сотрудника,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
296,Необходимо заменить номер телефона в личном кабинете,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
297,добрый день. нужно изменить номер телефона сотрудника,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
298,"добрый день, сотруднику при трудоустройстве был некорректно введен номер телефона, возможно это оперативно исправить?","Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
299,изменить номер телефона сотрудника,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
300,неверно указан номер при приеме,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
301,неверно указан номер телефона при приеме на работу,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
302,нет доступа к личному кабинету сотрудника из-за не правильно введенного номера при приеме на работу,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
303,Прошу Сменить номер мобильного телефона сотрудника так как при трудоустройстве был введен не верный номер сменить,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
304,Сотрудник не может восстановить пароль от личного кабинета в связи со сменой номера и отсутствия доступа к старому,"Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
305,"У Сотрудника не верно указан номер телефона,Не возможно отправить пароль для входа в личный кабинет.Как поменять","Кнопка ""изменить номер"" телефона находится в личном разделе в личный кабинет. Если доступа к личный кабинет нет, для смены номера телефона, обратитесь в поддержку",ЛК,faq
306,Как составить график отпусков в личный кабинет?,Процесс планирования и согласования проходит через обновленный личный кабинет «Х5 Мои сервисы» https://company-x5.ru Как запланировать отпуск: 1. Войдите на портал https://company-x5.ru . Выберите раздел «Задачи». 2. Нажмите на задачу «Планирование графика отпусков». 3. Выберите необходимые даты. 4. Нажмите кнопку «Отправить». 5. Готово. График ушел на согласование руководителю.,ЛК,faq
307,Как запланировать отпуск через личный кабинет?,Процесс планирования и согласования проходит через обновленный личный кабинет «Х5 Мои сервисы» https://company-x5.ru Как запланировать отпуск: 1. Войдите на портал https://company-x5.ru . Выберите раздел «Задачи». 2. Нажмите на задачу «Планирование графика отпусков». 3. Выберите необходимые даты. 4. Нажмите кнопку «Отправить». 5. Готово. График ушел на согласование руководителю.,ЛК,faq
308,Недоступна кнопка «Запланировать график на будущий год»,Процесс планирования и согласования проходит через обновленный личный кабинет «Х5 Мои сервисы» https://company-x5.ru Как запланировать отпуск: 1. Войдите на портал https://company-x5.ru . Выберите раздел «Задачи». 2. Нажмите на задачу «Планирование графика отпусков». 3. Выберите необходимые даты. 4. Нажмите кнопку «Отправить». 5. Готово. График ушел на согласование руководителю.,ЛК,faq
309,Не доступна кнопка планирования отпуска,Процесс планирования и согласования проходит через обновленный личный кабинет «Х5 Мои сервисы» https://company-x5.ru Как запланировать отпуск: 1. Войдите на портал https://company-x5.ru . Выберите раздел «Задачи». 2. Нажмите на задачу «Планирование графика отпусков». 3. Выберите необходимые даты. 4. Нажмите кнопку «Отправить». 5. Готово. График ушел на согласование руководителю.,ЛК,faq
310,"не верно указан статус в личный кабинет у сотрудника . статус уволен, но у сотрудника повторный прием.","По данному вопросу Вы можете обратиться в кадровую службу, создав заявку ""Консультация по HR вопросам""",ЛК,faq
